AOI_setting,ml,features,acc
Sentences,logistic,"(' AOI Name', 'Text ID', 'Difficulty_2', 'Difficulty_1')",0.5105555555555555
Sentences,logistic,"(' AOI Name',)",0.5322222222222223
Sentences,logistic,"('Difficulty_1',)",0.4977777777777778
Sentences,logistic,"('Difficulty_2', 'Difficulty_1')",0.5083333333333334
Sentences,logistic,"('Difficulty_2',)",0.5033333333333333
Sentences,logistic,"('Text ID', 'Difficulty_1')",0.5172222222222221
Sentences,logistic,"('Text ID', 'Difficulty_2')",0.5066666666666667
Sentences,logistic,"('Text ID', 'Difficulty_2', 'Difficulty_1')",0.5111111111111112
Sentences,logistic,"('Text ID',)",0.5038888888888889
Sentences,logistic,(),0.49833333333333335
Sentences,randomForest,"(' AOI Name', 'Difficulty_1')",0.6455555555555554
Sentences,randomForest,"(' AOI Name', 'Difficulty_2')",0.6155555555555555
Sentences,randomForest,"(' AOI Name', 'Difficulty_2', 'Difficulty_1')",0.6183333333333333
Sentences,randomForest,"(' AOI Name', 'Text ID')",0.6344444444444445
Sentences,randomForest,"(' AOI Name', 'Text ID', 'Difficulty_1')",0.6616666666666666
Sentences,randomForest,"(' AOI Name', 'Text ID', 'Difficulty_2')",0.6633333333333334
Sentences,randomForest,"(' AOI Name', 'Text ID', 'Difficulty_2', 'Difficulty_1')",0.6533333333333333
Sentences,randomForest,"(' AOI Name',)",0.6277777777777779
Sentences,randomForest,"('Difficulty_1',)",0.6061111111111112
Sentences,randomForest,"('Difficulty_2', 'Difficulty_1')",0.6261111111111112
Sentences,randomForest,"('Difficulty_2',)",0.6111111111111112
Sentences,randomForest,"('Text ID', 'Difficulty_1')",0.6150000000000001
Sentences,randomForest,"('Text ID', 'Difficulty_2')",0.6233333333333334
Sentences,randomForest,"('Text ID', 'Difficulty_2', 'Difficulty_1')",0.6422222222222222
Sentences,randomForest,"('Text ID',)",0.6088888888888888
Sentences,randomForest,(),0.6072222222222222
Title_para,logistic,"(' AOI Name', 'Answer')",0.5038888888888888
Title_para,logistic,"(' AOI Name', 'Answer', 'Difficulty_1')",0.5038888888888889
Title_para,logistic,"(' AOI Name', 'Difficulty_1')",0.4855555555555555
Title_para,logistic,"(' AOI Name', 'Paragraph_Number')",0.4911111111111111
Title_para,logistic,"(' AOI Name', 'Paragraph_Number', 'Answer')",0.5077777777777778
Title_para,logistic,"(' AOI Name', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.5133333333333333
Title_para,logistic,"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",0.4911111111111111
Title_para,logistic,"(' AOI Name', 'Text ID')",0.5016666666666667
Title_para,logistic,"(' AOI Name', 'Text ID', 'Answer')",0.49333333333333335
Title_para,logistic,"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",0.49333333333333335
Title_para,logistic,"(' AOI Name', 'Text ID', 'Difficulty_1')",0.5188888888888888
Title_para,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number')",0.49111111111111105
Title_para,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",0.5105555555555555
Title_para,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.5183333333333334
Title_para,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",0.4827777777777777
Title_para,logistic,"(' AOI Name',)",0.4816666666666667
Title_para,logistic,"('Answer', 'Difficulty_1')",0.48666666666666664
Title_para,logistic,"('Answer',)",0.5111111111111111
Title_para,logistic,"('Difficulty_1',)",0.49666666666666665
Title_para,logistic,"('Paragraph_Number', 'Answer')",0.49166666666666664
Title_para,logistic,"('Paragraph_Number', 'Answer', 'Difficulty_1')",0.5016666666666666
Title_para,logistic,"('Paragraph_Number', 'Difficulty_1')",0.49000000000000005
Title_para,logistic,"('Paragraph_Number',)",0.4911111111111111
