Text 9,1.5
Text 5,1.72
Text 12,1.79
Text 20,1.83
Text 2,1.89
Text 6,1.94
Text 7,2
Text 19,2.27
Text 11,2.32
Text 3,2.61
Text 1 ,2.64
Text 14,2.64
Text 4,2.67
Text 15,2.71
Text 8,2.72
Text 10,2.75
Text 13,2.82
Text 18,2.88
Text 17,2.89
Text 16,3
